company_key,customer_key,date_key,revenue
1,1,12,237.12
1,1,13,237.12
1,1,14,282.72
1,1,15,282.72
1,1,17,282.72
1,1,19,237.12
1,1,20,237.12
1,1,21,237.12
1,1,22,237.12
1,1,23,237.12
1,1,24,237.12
1,1,25,189.24
1,1,26,189.24
1,1,27,189.24
1,1,28,282.72
1,1,29,282.72
1,1,30,282.72
1,1,31,282.72
1,1,32,282.72
1,1,33,282.72
1,1,34,282.72
1,1,35,282.72
1,1,36,282.72
1,1,37,282.72
1,1,38,282.72
1,1,39,282.72
1,1,40,296.856
1,1,41,296.856
1,1,42,296.856
1,1,43,296.856
1,1,44,296.856
1,1,45,296.856
1,1,46,296.856
1,1,47,296.856
1,1,48,296.856
1,1,49,296.856
1,1,50,296.856
1,1,51,296.856
1,1,52,319.1259
1,1,53,319.1259
1,1,54,319.1259
1,1,55,319.1259
1,1,56,319.1259
1,2,12,752.4
1,2,13,752.4
1,2,14,752.4
1,2,15,752.4
1,2,17,752.4
1,2,19,752.4
1,2,20,816.24
1,2,21,816.24
1,2,22,816.24
1,2,23,752.4
1,2,24,752.4
1,2,25,752.4
1,2,26,752.4
1,2,27,752.4
1,2,28,752.4
1,2,29,752.4
1,2,30,752.4
1,2,31,752.4
1,2,32,752.4
1,2,33,752.4
1,2,34,752.4
1,2,35,791.16
1,2,36,791.16
1,2,37,791.16
1,2,38,791.16
1,2,39,790.02
1,2,40,790.02
1,2,41,790.02
1,2,42,790.02
1,2,43,790.02
1,2,44,790.02
1,2,45,790.02
1,2,46,790.02
1,2,47,849.2772
1,2,48,849.2772
1,2,49,849.2772
1,2,50,849.2772
1,2,51,849.2772
1,2,52,849.2772
1,2,53,849.2772
1,2,54,849.2772
1,2,55,849.2772
1,2,56,849.2772
1,3,27,0.0
1,3,28,0.0
1,3,29,0.0
1,3,30,0.0
1,3,31,0.0
1,3,32,0.0
1,3,33,0.0
1,3,34,0.0
1,3,35,0.0
1,3,36,0.0
1,3,37,0.0
1,3,38,0.0
1,3,39,0.0
1,3,40,0.0
1,3,41,0.0
1,3,42,0.0
1,3,43,0.0
1,3,44,0.0
1,3,45,0.0
1,3,46,0.0
1,3,47,0.0
1,3,48,0.0
1,3,49,0.0
1,3,50,0.0
1,3,51,0.0
1,3,52,1077.3
1,3,53,1077.3
1,3,54,1077.3
1,3,55,1077.3
1,3,56,0.0
1,4,12,191.52
1,4,13,191.52
1,4,14,191.52
1,4,15,191.52
1,4,17,191.52
1,4,19,191.52
1,4,20,191.52
1,4,21,136.8
1,4,22,136.8
1,4,23,136.8
1,4,24,136.8
1,4,25,136.8
1,4,26,136.8
1,4,27,136.8
1,4,28,136.8
1,4,29,136.8
1,4,30,136.8
1,4,31,136.8
1,4,32,136.8
1,4,33,150.48
1,4,34,150.48
1,4,35,150.48
1,4,36,150.48
1,4,37,150.48
1,4,38,150.48
1,4,39,151.2875
1,4,40,151.2875
1,4,41,151.2875
1,4,42,151.2875
1,4,43,151.2875
1,4,44,151.2875
1,4,45,162.6343
1,4,46,162.6343
1,4,47,162.6343
1,4,48,162.6343
1,4,49,162.6343
1,4,50,162.6343
1,4,51,162.6343
1,4,52,162.6343
1,4,53,162.6343
1,4,54,162.6343
1,4,55,162.6343
1,4,56,162.6343
1,5,12,0.0
1,5,13,0.0
1,5,14,0.0
1,5,15,0.0
1,5,17,0.0
1,5,19,0.0
1,5,20,346.56
1,5,21,346.56
1,5,22,346.56
1,5,23,346.56
1,5,24,346.56
1,5,25,547.2
1,5,26,547.2
1,5,27,547.2
1,5,28,547.2
1,5,29,547.2
1,5,30,547.2
1,5,31,547.2
1,5,32,371.64
1,5,33,882.36
1,5,34,882.36
1,5,35,882.36
1,5,36,882.36
1,5,37,684.0
1,5,38,731.88
1,5,39,732.393
1,5,40,732.393
1,5,41,732.393
1,5,42,732.393
1,5,43,732.393
1,5,44,748.6494
1,5,45,787.07595
1,5,46,787.07595
1,5,47,787.07595
1,5,48,787.07595
1,5,49,839.51595
1,5,50,839.51595
1,5,51,839.51595
1,5,52,839.51595
1,5,53,839.51595
1,5,54,839.51595
1,5,55,839.51595
1,5,56,839.51595
1,6,12,132.24
1,6,13,132.24
1,6,14,132.24
1,6,15,132.24
1,6,17,107.16
1,6,19,107.16
1,6,20,125.4
1,6,21,125.4
1,6,22,125.4
1,6,23,125.4
1,6,24,125.4
1,6,25,125.4
1,6,26,125.4
1,6,30,125.4
1,6,31,125.4
1,6,32,132.24
1,6,33,132.24
1,6,34,132.24
1,6,35,132.24
1,6,36,132.24
1,6,37,132.24
1,6,38,132.24
1,6,39,132.5155
1,6,40,132.5155
1,6,41,132.5155
1,6,42,132.5155
1,6,43,132.5155
1,6,44,142.4544
1,6,45,142.4544
1,6,46,142.4544
1,6,47,142.4544
1,6,48,142.4544
1,6,49,142.4544
1,6,50,142.4544
1,6,51,142.4544
1,6,52,142.4544
1,6,53,142.4544
1,6,54,142.4544
1,6,55,142.4544
1,6,56,146.90325
1,7,12,355.68
1,7,13,355.68
1,7,14,355.68
1,7,16,355.68
1,7,18,355.68
1,7,19,355.68
1,7,20,355.68
1,7,21,355.68
1,7,22,355.68
1,7,23,355.68
1,7,24,355.68
1,7,25,355.68
1,7,26,355.68
1,7,27,355.68
1,7,28,355.68
1,7,29,355.68
1,7,30,355.68
1,7,31,355.68
1,7,32,373.92
1,7,33,373.92
1,7,34,373.92
1,7,35,373.92
1,7,36,373.92
1,7,37,373.92
1,7,38,373.92
1,7,39,374.0625
1,7,40,374.0625
1,7,41,374.0625
1,7,42,374.0625
1,7,43,374.0625
1,7,44,402.11695
1,7,45,402.11695
1,7,46,402.11695
1,7,47,402.11695
1,7,48,402.11695
