company_key,customer_key,date_key,category_key,revenue
1,1.0,27,1,0.0
1,1.0,28,1,0.0
1,1.0,29,1,0.0
1,1.0,30,1,0.0
1,1.0,31,1,0.0
1,1.0,32,1,0.0
1,1.0,33,1,0.0
1,1.0,34,1,0.0
1,1.0,35,1,0.0
1,1.0,36,1,0.0
1,1.0,37,1,0.0
1,1.0,38,1,0.0
1,1.0,39,1,0.0
1,1.0,40,1,0.0
1,1.0,41,1,0.0
1,1.0,42,1,0.0
1,1.0,43,1,0.0
1,1.0,44,1,0.0
1,1.0,45,1,0.0
1,1.0,46,1,0.0
1,1.0,47,1,0.0
1,1.0,48,1,0.0
1,1.0,49,1,0.0
1,1.0,50,1,0.0
1,1.0,51,1,0.0
1,1.0,52,1,0.0
1,1.0,53,1,1077.3
1,1.0,54,1,1077.3
1,1.0,55,1,1077.3
1,1.0,56,1,1077.3
1,1.0,52,2,1077.3
1,1.0,56,3,-1077.3
2,10.0,17,2,180.5
2,10.0,24,4,9.5
2,10.0,27,5,-19.0
2,10.0,30,4,68.08
2,10.0,41,4,0.04
2,10.0,42,5,-49.12
2,10.0,44,4,38.0
2,10.0,48,4,19.0
2,10.0,13,1,0.0
2,10.0,14,1,0.0
2,10.0,15,1,0.0
2,10.0,17,1,0.0
2,10.0,19,1,180.5
2,10.0,20,1,180.5
2,10.0,21,1,180.5
2,10.0,22,1,180.5
2,10.0,23,1,180.5
2,10.0,24,1,180.5
2,10.0,25,1,190.0
2,10.0,26,1,190.0
2,10.0,27,1,190.0
2,10.0,28,1,171.0
2,10.0,29,1,171.0
2,10.0,30,1,171.0
2,10.0,31,1,239.08
2,10.0,32,1,239.08
2,10.0,33,1,239.08
2,10.0,34,1,239.08
2,10.0,35,1,239.08
2,10.0,36,1,239.08
2,10.0,37,1,239.08
2,10.0,38,1,239.08
2,10.0,39,1,239.08
2,10.0,40,1,239.08
2,10.0,41,1,239.08
2,10.0,42,1,239.12
2,10.0,43,1,190.0
2,10.0,44,1,190.0
2,10.0,45,1,228.0
2,10.0,46,1,228.0
2,10.0,47,1,228.0
2,10.0,48,1,228.0
2,10.0,49,1,247.0
2,10.0,50,1,247.0
2,10.0,51,1,247.0
2,10.0,52,1,247.0
2,10.0,53,1,247.0
2,10.0,54,1,247.0
2,10.0,55,1,247.0
2,10.0,56,1,247.0
2,101.0,13,1,0.0
2,101.0,14,1,0.0
2,101.0,15,1,0.0
2,101.0,17,1,0.0
2,101.0,19,1,0.0
2,101.0,20,1,0.0
2,101.0,21,1,0.0
2,101.0,22,1,0.0
2,101.0,23,1,0.0
2,101.0,24,1,0.0
2,101.0,25,1,0.0
2,101.0,26,1,0.0
2,101.0,27,1,0.0
2,101.0,28,1,0.0
2,101.0,29,1,0.0
2,101.0,30,1,0.0
2,101.0,31,1,0.0
2,101.0,32,1,0.0
2,101.0,33,1,0.0
2,101.0,34,1,0.0
2,101.0,35,1,0.0
2,101.0,36,1,0.0
2,101.0,37,1,0.0
2,101.0,38,1,0.0
3,1001.0,13,4,14.4
3,1001.0,36,4,50.0
3,1001.0,39,5,-12.496667
3,1001.0,47,4,343.39
3,1001.0,48,4,25.0
3,1001.0,50,4,139.0
3,1001.0,51,4,41.666717
3,1001.0,52,5,-5e-05
3,1001.0,13,1,564.83
3,1001.0,14,1,579.23
3,1001.0,15,1,579.23
3,1001.0,17,1,579.23
3,1001.0,19,1,579.23
3,1001.0,20,1,579.23
3,1001.0,21,1,579.23
3,1001.0,22,1,579.23
3,1001.0,23,1,579.23
3,1001.0,24,1,579.23
3,1001.0,25,1,579.23
3,1001.0,26,1,579.23
3,1001.0,27,1,579.23
3,1001.0,28,1,579.23
3,1001.0,29,1,579.23
3,1001.0,30,1,579.23
3,1001.0,31,1,579.23
3,1001.0,32,1,579.23
3,1001.0,33,1,579.23
3,1001.0,34,1,579.23
3,1001.0,35,1,579.23
3,1001.0,36,1,579.23
3,1001.0,37,1,629.23
3,1001.0,38,1,629.23
3,1001.0,39,1,629.23
3,1001.0,40,1,616.733333
3,1001.0,41,1,616.733333
3,1001.0,42,1,616.733333
3,1001.0,43,1,616.733333
3,1001.0,44,1,616.733333
3,1001.0,45,1,616.733333
3,1001.0,46,1,616.733333
3,1001.0,47,1,616.733333
3,1001.0,48,1,960.123333
3,1001.0,49,1,985.123333
3,1001.0,50,1,985.123333
3,1001.0,51,1,1124.123333
3,1001.0,52,1,1165.79005
3,1001.0,53,1,1165.79
3,1001.0,54,1,1165.79
3,1001.0,55,1,1165.79
3,1001.0,56,1,1165.79
1,1002.0,13,1,0.0
1,1002.0,14,1,0.0
1,1002.0,15,1,125.4
1,1002.0,17,1,125.4
1,1002.0,19,1,125.4
1,1002.0,20,1,125.4
1,1002.0,21,1,125.4
1,1002.0,22,1,125.4
1,1002.0,23,1,125.4
1,1002.0,24,1,125.4
1,1002.0,25,1,125.4
1,1002.0,26,1,125.4
1,1002.0,27,1,125.4
1,1002.0,28,1,125.4
1,1002.0,29,1,125.4
1,1002.0,30,1,125.4
1,1002.0,31,1,125.4
1,1002.0,32,1,125.4
1,1002.0,33,1,125.4
1,1002.0,34,1,125.4
1,1002.0,35,1,125.4
1,1002.0,36,1,125.4
1,1002.0,37,1,125.4
1,1002.0,38,1,125.4
1,1002.0,39,1,125.4
1,1002.0,40,1,126.331
1,1002.0,41,1,132.64755
1,1002.0,42,1,132.64755
1,1002.0,43,1,132.64755
1,1002.0,44,1,132.64755
1,1002.0,45,1,132.64755
1,1002.0,46,1,132.64755
1,1002.0,47,1,132.64755
1,1002.0,48,1,132.64755
1,1002.0,49,1,132.64755
1,1002.0,50,1,132.64755
1,1002.0,51,1,132.64755
1,1002.0,52,1,132.64755
1,1002.0,53,1,142.59595
1,1002.0,54,1,142.59595
1,1002.0,55,1,142.59595
1,1002.0,56,1,142.59595
1,1002.0,14,2,125.4
1,1002.0,39,4,0.931
1,1002.0,40,4,6.31655
1,1002.0,52,4,9.9484
2,1003.0,13,1,0.0
2,1003.0,14,1,0.0
2,1003.0,15,1,0.0
2,1003.0,17,1,0.0
2,1003.0,19,1,0.0
2,1003.0,20,1,0.0
